formula,target
Ag0P0S1,-0.23407036915518264
Ag0P1S0,0.002609444083694088
Ag0P1S1,-0.25385020394122554
Ag0P1S2,-0.2310874048153429
Ag0P1S3,-0.211892510823284
Ag0P1S4,-0.2011446531117919
Ag0P1S5,-0.18120884712099047
Ag0P1S6,-0.17035530497205753
Ag0P1S7,-0.1757307844393309
Ag0P1S8,-0.17731344143805114
Ag0P1S9,-0.17770079358769889
Ag0P1S10,-0.17389530669158845
Ag0P1S11,-0.17355469497781204
Ag0P1S12,-0.16992109567515393
Ag0P1S13,-0.1743600745354577
Ag0P1S14,-0.17047913856477204
Ag0P1S15,-0.16530531308457624
Ag0P2S1,-0.09387679610769344
Ag0P2S3,-0.2380716164147514
Ag0P2S5,-0.21472401478353093
Ag0P2S7,-0.1952177966201841
Ag0P2S9,-0.17800007941697107
Ag0P2S11,-0.18262295026526626
Ag0P2S13,-0.18049088119553308
Ag0P2S15,-0.1756215039983752
Ag0P3S1,-0.06426489120148854
Ag0P3S2,-0.07373743954203689
Ag0P3S4,-0.23335333212191142
Ag0P3S5,-0.23181487818211202
Ag0P3S7,-0.21441877812989393
Ag0P3S8,-0.20630427217997013
Ag0P3S10,-0.19437874228944435
Ag0P3S11,-0.1923362896641542
Ag0P3S13,-0.18888199013700435
Ag0P3S14,-0.18511375206187
Ag0P4S1,-0.043931002456899806
Ag0P4S3,-0.05470878676213706
Ag0P4S5,-0.23780494921768117
Ag0P4S7,-0.2218486509633298
Ag0P4S9,-0.21496591927736877
Ag0P4S11,-0.2108710096519065
Ag0P4S13,-0.2006574624394182
Ag0P4S15,-0.19967773371186773
Ag0P5S1,-0.02861491760841495
Ag0P5S2,-0.04291363160552895
Ag0P5S3,-0.06195743016420281
Ag0P5S4,-0.07205993077747841
Ag0P5S6,-0.23143875214873705
Ag0P5S7,-0.23271988643797722
Ag0P5S8,-0.23038656770568622
Ag0P5S9,-0.2329756169126884
Ag0P5S11,-0.2178095276665372
Ag0P5S12,-0.21062817488387092
Ag0P5S13,-0.21117162758988528
Ag0P5S14,-0.2152294109658832
Ag0P6S1,-0.029605153683897788
Ag0P6S5,-0.09173664444779503
Ag0P6S7,-0.2327781160197904
Ag0P6S11,-0.22498635749874496
Ag0P6S13,-0.21647911987871093
Ag0P7S1,-0.031146092942025274
Ag0P7S2,-0.041136186163715865
Ag0P7S3,-0.06349996757021785
Ag0P7S4,-0.08036247561662618
Ag0P7S5,-0.10576620411655765
Ag0P7S6,-0.1099895558481594
Ag0P7S8,-0.23244842425739048
Ag0P7S9,-0.22855643178556917
Ag0P7S10,-0.22986878575856554
Ag0P7S11,-0.21679413691774346
Ag0P7S12,-0.22098976927238576
Ag0P7S13,-0.21625736212095442
Ag0P8S1,-0.03317042843986077
Ag0P8S3,-0.06527487613550877
Ag0P8S5,-0.10578841299101653
Ag0P8S7,-0.1162863534370514
Ag0P8S9,-0.23185104665322648
Ag0P8S11,-0.22268901796579763
Ag0P9S1,-0.04386228882947116
Ag0P9S2,-0.06119468050271019
Ag0P9S4,-0.09663980545345602
Ag0P9S5,-0.10361361887336948
Ag0P9S7,-0.11595385155735215
Ag0P9S8,-0.12114443882154995
Ag0P9S10,-0.22534636553570273
Ag0P9S11,-0.22078142087798686
Ag0P10S1,-0.05221476044119278
Ag0P10S3,-0.0787215358757685
Ag0P10S7,-0.12465483384319494
Ag0P10S9,-0.12938558845700218
Ag0P11S1,-0.06539568875797402
Ag0P11S2,-0.08104019496667761
Ag0P11S3,-0.07983965925239188
Ag0P11S4,-0.08882590606930046
Ag0P11S5,-0.10859886454436514
Ag0P11S6,-0.12382813054649162
Ag0P11S7,-0.12182785440596548
Ag0P11S8,-0.12249108845700216
Ag0P11S9,-0.12930767946599317
Ag0P12S1,-0.0739133190610043
Ag0P12S5,-0.11653008509194619
Ag0P12S7,-0.12204199321890692
Ag0P13S1,-0.07522762100905628
Ag0P13S2,-0.08435733241256503
Ag0P13S3,-0.09966239446162709
Ag0P13S4,-0.10489727108500374
Ag0P13S5,-0.11111736858476917
Ag0P13S6,-0.11890885685527057
Ag0P13S7,-0.11910786994218363
Ag0P14S1,-0.08949044496288025
Ag0P14S3,-0.09246274186422447
Ag0P14S5,-0.1129018687030719
Ag0P15S1,-0.08868234972478499
Ag0P15S2,-0.09441715095513356
Ag0P15S4,-0.09927263846937368
Ag1P0S0,-0.21971433351475672
Ag1P0S1,-0.3376063242340993
Ag1P0S2,-0.27731597042957057
