formula,target
Ge0P0S1,-0.0006458160536697566
Ge0P1S0,0.11996618979040541
Ge0P1S1,-0.2795319558397885
Ge0P1S2,-0.28594184755064134
Ge0P1S3,-0.2595276771795937
Ge0P1S4,-0.238233071935526
Ge0P1S5,-0.22252818072220437
Ge0P1S6,-0.2112128938499065
Ge0P1S7,-0.20323407962989715
Ge0P1S8,-0.19782970236223618
Ge0P1S9,-0.1944630234876803
Ge0P1S10,-0.1927524275076976
Ge0P1S11,-0.19242117173628281
Ge0P1S12,-0.19326395988080125
Ge0P1S13,-0.19512492791155522
Ge0P1S14,-0.19788300942218018
Ge0P1S15,-0.2014420524105709
Ge0P2S1,-0.21505402580236788
Ge0P2S3,-0.3031442808343807
Ge0P2S5,-0.2821781676813986
Ge0P2S7,-0.2634371009657208
Ge0P2S9,-0.2517696169689496
Ge0P2S11,-0.24629292195458063
Ge0P2S13,-0.24578654963367885
Ge0P2S15,-0.24929026661262765
Ge0P3S1,-0.17477145778975767
Ge0P3S2,-0.24228365087786807
Ge0P3S4,-0.31188939437469754
Ge0P3S5,-0.3093792823008341
Ge0P3S7,-0.2993861395675451
Ge0P3S8,-0.2946782785529942
Ge0P3S10,-0.2879436092347405
Ge0P3S11,-0.28608943412907506
Ge0P3S13,-0.2853304861793736
Ge0P3S14,-0.28632570730610607
Ge0P4S1,-0.14508402676503196
Ge0P4S3,-0.2550441717378913
Ge0P4S5,-0.32031171970035766
Ge0P4S7,-0.32079442333018016
Ge0P4S9,-0.31772078841983786
Ge0P4S11,-0.31586186102199576
Ge0P4S13,-0.3165614834853905
Ge0P4S15,-0.32007113377902807
Ge0P5S1,-0.12360141484435305
Ge0P5S2,-0.20109113046699878
Ge0P5S3,-0.24276650833088276
Ge0P5S4,-0.2654275014511386
Ge0P5S6,-0.32975780947555444
Ge0P5S7,-0.33336915591931715
Ge0P5S8,-0.3353105648821262
Ge0P5S9,-0.33647976148684744
Ge0P5S11,-0.33845822923688085
Ge0P5S12,-0.3397977878682157
Ge0P5S13,-0.3415567614286801
Ge0P5S14,-0.34380274640354025
Ge0P6S1,-0.10794067417700515
Ge0P6S5,-0.2758898781722784
Ge0P6S7,-0.3405508810734762
Ge0P6S11,-0.35589500706009913
Ge0P6S13,-0.361859663167478
Ge0P7S1,-0.09647803694271384
Ge0P7S2,-0.17062194945644127
Ge0P7S3,-0.2187199831961213
Ge0P7S4,-0.25059410571692486
Ge0P7S5,-0.2721891745644307
Ge0P7S6,-0.2871867298092968
Ge0P7S8,-0.3527602784347992
Ge0P7S9,-0.35930139407247697
Ge0P7S10,-0.3647657172296581
Ge0P7S11,-0.36961343687773485
Ge0P7S12,-0.3741601782085242
Ge0P7S13,-0.37862332110773167
Ge0P8S1,-0.08814458446089213
Ge0P8S3,-0.20870380324313875
Ge0P8S5,-0.26781114366601866
Ge0P8S7,-0.29959122575433406
Ge0P8S9,-0.3663682782692752
